X,Y,veg2010,TRI,snowcov,HFI2012
451994.1485,6026465,159.1955,3.48935,0.0625,114.47797
455994.1485,6026465,176.46693,3.29964,0.09375,120.18461
459994.1485,6026465,178.65295,3.19156,0.34375,87.59994
351994.1485,6022465,211.13947,8.37954,1.05,127.18846
355994.1485,6022465,199.22262,8.44649,0.54348,126.38773
359994.1485,6022465,193.62743,8.44649,1.13333,119.81324
363994.1485,6022465,174.1413,5.64542,1.23438,103.43979
367994.1485,6022465,167.29193,6.4249,0.4375,87.49818
371994.1485,6022465,140.82438,5.41484,1.01563,77.71378
375994.1485,6022465,167.29488,3.8858,0.5,103.67559
379994.1485,6022465,161.35295,5.31576,0.04688,104.51056
383994.1485,6022465,152.85272,5.63987,0,96.783
387994.1485,6022465,114.98804,6.41448,0.01563,69.59577
391994.1485,6022465,170.3677,7.88783,0.03125,88.94861
395994.1485,6022465,174.65893,7.15061,0,75.37446
399994.1485,6022465,164.38051,8.27977,0.07813,64.71316
403994.1485,6022465,166.08929,7.74011,0.14063,109.09425
407994.1485,6022465,194.28948,7.15802,0.07813,98.3479
411994.1485,6022465,200.43043,8.50263,0.125,102.26727
415994.1485,6022465,173.28975,8.73109,0.875,102.6948
419994.1485,6022465,204.63665,6.90513,0.95313,127.89852
423994.1485,6022465,209.04387,7.16097,0.3125,113.79689
427994.1485,6022465,180.89821,6.76977,0.03125,90.0669
431994.1485,6022465,165.51025,5.81569,1.03125,95.74488
435994.1485,6022465,160.38936,5.26121,1.17188,95.68315
439994.1485,6022465,157.58012,6.60205,1,89.07438
443994.1485,6022465,149.96801,5.9195,0.65625,100.65707
447994.1485,6022465,152.27399,5.34198,0.25,111.74301
451994.1485,6022465,187.57935,5.88984,0.32813,120.99876
455994.1485,6022465,192.56467,4.82284,0.34375,116.03467
343994.1485,6018465,199.73835,10.03897,1.93333,124.48899
347994.1485,6018465,198.28348,10.36645,1.20408,125.53945
351994.1485,6018465,196.12776,10.25276,0.90625,124.56964
355994.1485,6018465,185.42865,10.35837,0.1875,127.83929
359994.1485,6018465,177.9229,8.43703,0.28125,128
363994.1485,6018465,195.21335,8.68446,0.26563,106.6679
367994.1485,6018465,179.24876,9.33657,0.29688,109.37015
371994.1485,6018465,160.92585,9.97932,0.59375,106.375
375994.1485,6018465,145.16491,5.12057,0.46875,96.11851
379994.1485,6018465,165.68548,7.20991,0.14063,103.18241
383994.1485,6018465,180.31661,6.02752,0.01563,115.24616
387994.1485,6018465,135.31739,9.17848,0,94.14301
391994.1485,6018465,127.54503,7.61593,0.04688,84.01501
395994.1485,6018465,141.94301,5.66907,0.03125,86.82686
399994.1485,6018465,148.90683,7.70098,0.26563,72.29806
403994.1485,6018465,167.59243,9.02478,0.09375,101.67776
407994.1485,6018465,196.74363,8.34334,0.09375,73.5482
411994.1485,6018465,194.75831,9.58887,0.42857,93.84891
415994.1485,6018465,162.40621,7.10929,1.625,113.2184
419994.1485,6018465,213.74534,8.33995,0.6875,124.59414
423994.1485,6018465,192.5837,7.7193,0.67188,103.90311
427994.1485,6018465,175.56685,6.35379,1.29688,107.11003
431994.1485,6018465,171.32228,3.21271,1.15625,77.86269
435994.1485,6018465,167.10893,4.90778,1.07813,121.23894
439994.1485,6018465,194.12484,6.01074,0.65625,124.787
443994.1485,6018465,194.98913,6.75891,0.51563,110.64797
447994.1485,6018465,168.52197,4.90789,0.4375,109.1396
451994.1485,6018465,191.41188,6.37387,0.64063,119.93183
455994.1485,6018465,207.49689,6.32694,0.51563,124.0615
307994.1485,6014465,196.18516,29.85768,4.78571,128
311994.1485,6014465,188.39036,16.32417,3.40909,123.05507
315994.1485,6014465,187.96453,13.84213,1.23077,111.02203
339994.1485,6014465,181.87508,13.81189,0.09091,127.78821
343994.1485,6014465,189.2522,9.29388,0.46032,127.59012
347994.1485,6014465,194.34581,8.03882,0.14063,121.7934
351994.1485,6014465,194.60411,8.42087,0.125,126.03078
355994.1485,6014465,169.03587,7.40147,0.07813,124.98492
359994.1485,6014465,196.86762,7.41615,0.26563,127.53222
363994.1485,6014465,201.64658,9.26154,0.45313,125.73074
367994.1485,6014465,191.54247,10.25587,0.09375,126.14313
371994.1485,6014465,191.25567,9.90551,0.125,125.02254
375994.1485,6014465,159.89969,9.74,0.1875,115.41048
379994.1485,6014465,171.30287,8.74653,0,124.89
383994.1485,6014465,149.19697,9.71364,0.07813,91.98262
387994.1485,6014465,148.28137,9.0861,0.125,80.32
391994.1485,6014465,155.992,7.68957,0.34375,94.69526
395994.1485,6014465,175.86498,8.49188,0.01563,91.5991
399994.1485,6014465,150.27174,8.45056,0.07813,97.41637
403994.1485,6014465,177.84585,8.78001,0.03125,105.37965
407994.1485,6014465,201.64627,8.26434,0.34375,105.0712
411994.1485,6014465,176.2915,8.63818,1.94643,95.00484
415994.1485,6014465,185.90505,8.52463,1.1875,109.35527
419994.1485,6014465,187.14286,7.83871,0.125,87.52891
423994.1485,6014465,146.2764,7.51045,0.96875,92.06152
427994.1485,6014465,150.69682,4.84295,1.35938,92.22465
431994.1485,6014465,165.23486,4.65948,0.5625,125.0934
435994.1485,6014465,194.52407,3.55788,1.1875,125.31926
439994.1485,6014465,201.82741,5.74156,0.84375,126.8532
443994.1485,6014465,191.54775,5.54093,0.85938,120.40819
447994.1485,6014465,168.41366,4.93836,0.78125,119.84449
451994.1485,6014465,203.72197,6.68244,0.57813,127.31979
307994.1485,6010465,171.25725,20.05898,8.5,128
311994.1485,6010465,150.58315,20.05898,7.76563,127.9236
315994.1485,6010465,196.26149,23.56424,3.375,124.09942
319994.1485,6010465,179.21923,23.06421,5.60938,126.38517
323994.1485,6010465,130.86288,17.24797,7.32759,128
327994.1485,6010465,208.73867,16.79062,3.14286,127.78645
331994.1485,6010465,193.10839,11.73557,0.75,125.88932
335994.1485,6010465,175.21918,7.88515,0,127.69515
339994.1485,6010465,198.82073,16.84748,1.64063,127.4035
343994.1485,6010465,164.65272,13.51346,1.3125,125.87364
347994.1485,6010465,149.92205,11.50609,0.34375,104.09286
351994.1485,6010465,152.30761,11.8743,0.04688,124.72636
355994.1485,6010465,181.61095,8.7798,1.14063,125.16708
359994.1485,6010465,188.64262,10.16358,1.25,126.24119
363994.1485,6010465,201.87314,10.58972,1.54688,126.30936
367994.1485,6010465,200.32585,11.72214,0.73438,125.63276
371994.1485,6010465,193.07438,12.05988,0.25,118.37477
375994.1485,6010465,185.1177,10.10137,0.39063,121.76482
379994.1485,6010465,159.85559,8.41784,0.04688,86.767
383994.1485,6010465,139.42415,9.91424,0.03125,75.57061
387994.1485,6010465,149.44208,9.1294,0.14063,83.92527
391994.1485,6010465,155.21739,8.09703,0.46875,87.86038
395994.1485,6010465,161.05738,8.06104,0.5625,93.74534
399994.1485,6010465,187.99309,9.86716,0.125,123.51316
403994.1485,6010465,198.20807,10.58749,0.0625,119.56588
407994.1485,6010465,193.00714,8.52203,0.67188,97.25219
411994.1485,6010465,175.0712,8.30498,1.33929,90.5842
415994.1485,6010465,174.60217,8.41873,1,91.30967
419994.1485,6010465,151.62065,8.40469,1.21875,88.9007
423994.1485,6010465,143.19573,4.62362,2.15625,75.03882
427994.1485,6010465,159.09596,3.88835,1.59375,119.24656
431994.1485,6010465,203.07686,3.51919,1.89063,127.46359
435994.1485,6010465,199.68385,5.34841,1.32813,125.96483
439994.1485,6010465,207.65171,7.62237,1.15625,126.64041
443994.1485,6010465,203.37919,3.75966,1.26563,125.19058
447994.1485,6010465,200.7604,2.25908,1.04688,125.06619
307994.1485,6006465,79.98628,21.77081,11.35938,128
311994.1485,6006465,186.84014,15.48999,8.89063,128
315994.1485,6006465,124.92679,28.12365,9.96875,128
