X	Y	veg2010	TRI	snowcov	HFI2012
645505.5503	5661229	189.55031	7.65681	0	101.26309
649505.5503	5661229	189.45556	12.2189	0	85.51123
653505.5503	5661229	167.4054	7.17153	0	94.2388
657505.5503	5661229	166.57488	6.14466	0	110.63449
661505.5503	5661229	145.43895	5.4178	0	114.05522
665505.5503	5661229	132.80024	3.84733	0	72.87925
669505.5503	5661229	125.55868	3.7333	0	74.02591
673505.5503	5661229	120.11258	1.84792	0	50.85711
677505.5503	5661229	108.64926	2.52842	0	58.73129
681505.5503	5661229	111.38745	2.31573	0	35.12322
685505.5503	5661229	98.51596	1.60891	0	16.80275
689505.5503	5661229	99.64028	3.48778	0	16.21187
693505.5503	5661229	84.31043	4.1702	0.14286	39.28359
589505.5503	5657229	76.05001	33.89878	11.41379	128
593505.5503	5657229	144.90165	27.75757	6.9375	128
597505.5503	5657229	80.82172	36.04044	4.23438	128
601505.5503	5657229	168.11541	24.86734	9.25	128
